state_names_obs,obs_units,obs_sd,target_variable,multi_depth,model_source,model_variable,model_depth_m
temp,degC,1,Temp_C_mean,1,NA,NA,NA
OXY_oxy,mmol m-3,15,DO_mgL_mean,1,NA,NA,NA
OGM_doc_total,mmol m-3,18.7,fDOM_QSU_mean,1,NA,NA,NA
PHY_TCHLA,ugL,2,Chla_ugL_mean,1,NA,NA,NA
secchi,unitless,0.25,Secchi_m_sample,0,diagnostic,extc_coeff,1.0
